类别,行政区,点评数,口味,环境,服务,人均消费,城市,经度,纬度
火锅,浦东新区,184,7.5,7.7,7.2,629,上海市,121.8119764,30.90869904
火锅,浦东新区,3,7.3,7.3,7.3,629,上海市,121.8119764,30.90869904
火锅,浦东新区,510,6.9,7.3,7.2,626,上海市,121.8119764,30.90869904
火锅,浦东新区,51,7.1,6.9,7,626,上海市,121.8119764,30.90869904
火锅,浦东新区,41,7.1,7.1,7.1,624,上海市,121.8119764,30.90869904
本菜,浦东新区,168,7.3,7.3,7.3,622,上海市,121.8119764,30.90869904
本菜,浦东新区,11,6.9,7,7,621,上海市,121.8119764,30.90869904
料理,浦东新区,182,7.1,7.2,7.2,621,上海市,121.8119764,30.90869904
料理,浦东新区,197,7.3,7.9,7.5,620,上海市,121.8119764,30.90869904
料理,浦东新区,187,6.5,6.8,6.6,619,上海市,121.8119764,30.90869904
料理,浦东新区,0,0,0,0,614,上海市,121.8119764,30.90869904
西餐,浦东新区,103,7.1,7.3,7.1,614,上海市,121.8119764,30.90869904
快餐,浦东新区,72,7.4,7.4,7.5,612,上海市,121.8119764,30.90869904
西餐,浦东新区,104,6.2,6.5,6.5,612,上海市,121.8119764,30.90869904
西餐,浦东新区,11,6,6.6,6.4,612,上海市,121.8119764,30.90869904
美食,浦东新区,135,7.5,7.4,7.5,612,上海市,121.8119764,30.90869904
啡厅,浦东新区,24,7,7.4,7.2,612,上海市,121.8119764,30.90869904
蟹宴,浦东新区,19,6.7,6.8,6.7,611,上海市,121.8119764,30.90869904
快餐,浦东新区,119,7.5,7.8,7.8,610,上海市,121.8119764,30.90869904
快餐,浦东新区,6,7.4,6.9,7.1,610,上海市,121.8119764,30.90869904
快餐,浦东新区,45,7.2,7,7.2,610,上海市,121.8119764,30.90869904
快餐,浦东新区,1,7.1,7,7,609,上海市,121.8119764,30.90869904
龙虾,浦东新区,0,0,0,0,609,上海市,121.8119764,30.90869904
海鲜,浦东新区,15,7.5,7.4,7.4,608,上海市,121.8119764,30.90869904
浙菜,浦东新区,44,6.8,6.8,6.3,607,上海市,121.8119764,30.90869904
本菜,浦东新区,168,7.3,7.3,7.3,605,上海市,121.8119764,30.90869904
快餐,浦东新区,72,7.4,7.4,7.5,605,上海市,121.8119764,30.90869904
美食,浦东新区,2,7.6,7.6,7.6,605,上海市,121.8116678,30.89476667
助餐,浦东新区,0,0,0,0,604,上海市,121.8113679,30.90832215
料理,浦东新区,8,6.9,6.9,7.2,603,上海市,121.8113679,30.90832215
甜点,浦东新区,6,7.9,8,7.9,603,上海市,121.8113679,30.90832215
火锅,闵行区,0,0,0,0,603,上海市,121.8113679,30.90832215
快餐,闵行区,0,0,0,0,603,上海市,121.8113679,30.90832215
料理,浦东新区,0,0,0,0,601,上海市,121.8111735,30.90794302
火锅,浦东新区,3,7.4,7,7.7,600,上海市,121.8107364,30.90813512
北菜,浦东新区,0,0,0,0,597,上海市,121.8099491,30.90071806
常菜,浦东新区,0,0,0,0,597,上海市,121.8093375,30.90127163
烧烤,浦东新区,10,7.2,6.9,7.2,593,上海市,121.8090598,30.90111722
美食,浦东新区,11,7.1,7.3,7.3,593,上海市,121.8089492,30.90556041
美食,浦东新区,11,7.1,7.1,7.1,590,上海市,121.8089492,30.90556041
火锅,浦东新区,18,6.6,6.4,6.5,587,上海市,121.8089492,30.90556041
疆菜,浦东新区,0,0,0,0,585,上海市,121.8089492,30.90556041
甜点,浦东新区,7,7.3,7.1,7.1,583,上海市,121.8089492,30.90556041
